Category,Name,Rated,URL
경쾌,하스스톤 - 메인테마(리코더 커버),393,https://bgmstore.net/view/5bb0d100352039d22708f2f7/하스스톤 - 메인테마(리코더 커버)
경쾌,[자작곡] Climb the tower,339,https://bgmstore.net/view/5bb0d0d7352039d227081dc3/[자작곡] Climb the tower
경쾌,[리코더] 블락비 (Block B) - JACKPOT,194,https://bgmstore.net/view/5bb0d0ea352039d227087ae1/[리코더] 블락비 (Block B) - JACKPOT
경쾌,"[자작곡] 청월령 - 봄이오면 (희망,평화,따뜻,경쾌,게임)",192,"https://bgmstore.net/view/5bb0d121352039d22709b1f0/[자작곡] 청월령 - 봄이오면 (희망,평화,따뜻,경쾌,게임)"
경쾌,"잔잔한 피아노 후에 자기도 모르게 리듬타는 비트/브금 (잔잔,고요,따뜻,피아노 -&gt; 비트,흥겨움,흥함,경쾌,힙합)",178,"https://bgmstore.net/view/5bb0d13b352039d2270a5ada/잔잔한 피아노 후에 자기도 모르게 리듬타는 비트/브금 (잔잔,고요,따뜻,피아노 -&gt; 비트,흥겨움,흥함,경쾌,힙합)"
경쾌,"Nerf This (디바, D.va, dva, 이것도 너프해 보시지, 오버워치, Glitch, EDM, 자작곡, 경쾌, 즐거움, 흥겨움, 활기, 당당, 긴박, 격렬)",143,"https://bgmstore.net/view/5bb0d12e352039d2270a0547/Nerf This (디바, D.va, dva, 이것도 너프해 보시지, 오버워치, Glitch, EDM, 자작곡, 경쾌, 즐거움, 흥겨움, 활기, 당당, 긴박, 격렬)"
경쾌,트로피카나 (Rock Remix by Crystal Scent),134,https://bgmstore.net/view/5bb0d13b352039d2270a528a/트로피카나 (Rock Remix by Crystal Scent)
경쾌,테일즈위버 세컨드런 락 리믹스,122,https://bgmstore.net/view/5bb0d121352039d22709b279/테일즈위버 세컨드런 락 리믹스
경쾌,"메이플스토리 아리안트 락버전 (자작, 락, 경쾌, 신남, 활기)",98,"https://bgmstore.net/view/5bb0d13b352039d2270a5a99/메이플스토리 아리안트 락버전 (자작, 락, 경쾌, 신남, 활기)"
경쾌,[자작곡] 병아리 왈츠 (중독성/피아노/알람),93,https://bgmstore.net/view/5bb0d13b352039d2270a521b/[자작곡] 병아리 왈츠 (중독성/피아노/알람)
경쾌,[라이브] 여자친구 (GFRIEND) - 유리구슬,90,https://bgmstore.net/view/5bb0d121352039d22709baf6/[라이브] 여자친구 (GFRIEND) - 유리구슬
경쾌,"타마코 러브 스토리 - koi no uta (사랑의 노래) 아저씨ver. (신남,순수,흥겨움,경쾌)",88,"https://bgmstore.net/view/5bb0d0f0352039d22708a704/타마코 러브 스토리 - koi no uta (사랑의 노래) 아저씨ver. (신남,순수,흥겨움,경쾌)"
경쾌,[라이브] 거북이 - 빙고,75,https://bgmstore.net/view/5bb0d11a352039d22709acc7/[라이브] 거북이 - 빙고
경쾌,"크리스마스의 작은 리듬[자작]- 리드신스 (훈훈, 발랄, 여유, 경쾌, 희망, 행복)",71,"https://bgmstore.net/view/5bb0d0c7352039d22707c7b4/크리스마스의 작은 리듬[자작]- 리드신스 (훈훈, 발랄, 여유, 경쾌, 희망, 행복)"
경쾌,자작곡/ Kannoh - 出行,67,https://bgmstore.net/view/5bb0d13b352039d2270a4be5/자작곡/ Kannoh - 出行
경쾌,Sweet Aroma - 울면 안돼 (재즈 버전 편곡!),66,https://bgmstore.net/view/5bb0d13b352039d2270a55c4/Sweet Aroma - 울면 안돼 (재즈 버전 편곡!)
경쾌,행복한 발걸음[자작]-어쿠스틱 기타 [경쾌 행복 신남],66,https://bgmstore.net/view/5bb0d0c7352039d22707c96b/행복한 발걸음[자작]-어쿠스틱 기타 [경쾌 행복 신남]
경쾌,위플래쉬 - Whiplash(리코더 커버),60,https://bgmstore.net/view/5bb0d10d352039d227095774/위플래쉬 - Whiplash(리코더 커버)
경쾌,하스스톤 - 메인테마 (칼림바 커버),56,https://bgmstore.net/view/5bb0d100352039d227090183/하스스톤 - 메인테마 (칼림바 커버)
경쾌,듣기좋은 피아노 브금 (러브라이브 쿠루링 미라클 by 너쓰),53,https://bgmstore.net/view/5bb0d135352039d2270a3ec4/듣기좋은 피아노 브금 (러브라이브 쿠루링 미라클 by 너쓰)
경쾌,대피안내 - CGV 금호타이어(리코더 커버),52,https://bgmstore.net/view/5bb0d10d352039d22709592f/대피안내 - CGV 금호타이어(리코더 커버)
경쾌,끄트머리 (끄투 BGM 리메이크),51,https://bgmstore.net/view/5bb0d13b352039d2270a7050/끄트머리 (끄투 BGM 리메이크)
경쾌,"무명 3_2 (경쾌, 신비, 몽환, 소음, 일렉기타, 락)",50,"https://bgmstore.net/view/5bb0d13f352039d2270a7547/무명 3_2 (경쾌, 신비, 몽환, 소음, 일렉기타, 락)"
경쾌,"자작곡 New mind (평화,경쾌,행복,귀여움,활기)",49,"https://bgmstore.net/view/5bb0d0f0352039d22708c044/자작곡 New mind (평화,경쾌,행복,귀여움,활기)"
경쾌,[자작곡] 트로피컬 밝은느낌,41,https://bgmstore.net/view/5bb0d13b352039d2270a5c98/[자작곡] 트로피컬 밝은느낌
경쾌,Forever Bound - Stereo Madness (Crystal Scent's Remix),38,https://bgmstore.net/view/5bb0d135352039d2270a4192/Forever Bound - Stereo Madness (Crystal Scent's Remix)
경쾌,"[자작곡] Sunfl - Secret (미완성,짧음,경쾌,신남,비트,흥겨움,자작곡)",37,"https://bgmstore.net/view/5bb0d13b352039d2270a6f0d/[자작곡] Sunfl - Secret (미완성,짧음,경쾌,신남,비트,흥겨움,자작곡)"
경쾌,"바람의나라 소림사 락버전 (자작, 경쾌, 락)",35,"https://bgmstore.net/view/5bb0d13b352039d2270a5a5b/바람의나라 소림사 락버전 (자작, 경쾌, 락)"
경쾌,"[자작곡] 청월령 - Waver (활기, 몽환, OST, 희망, 평화)",34,"https://bgmstore.net/view/5bb0d13b352039d2270a4fff/[자작곡] 청월령 - Waver (활기, 몽환, OST, 희망, 평화)"
