Category,Name,Rated,URL
긴박,"[자작곡] 청월령 - Death Woods (피아노, 긴박, 몽환, 웅장, 게임)",292,"https://bgmstore.net/view/5bb0d0ea352039d227089b6e/[자작곡] 청월령 - Death Woods (피아노, 긴박, 몽환, 웅장, 게임)"
긴박,"요프레-악몽(공포, 긴박, 격렬, 초조, 심각, 피아노)",147,"https://bgmstore.net/view/5bb0d135352039d2270a371b/요프레-악몽(공포, 긴박, 격렬, 초조, 심각, 피아노)"
긴박,사이렌+ Deus Non Vult[제5공화국OP],141,https://bgmstore.net/view/5bb0d0e3352039d2270864bc/사이렌+ Deus Non Vult[제5공화국OP]
긴박,[자작곡] Star Prince - Titanrium (수정),94,https://bgmstore.net/view/5bb0d12e352039d2270a1489/[자작곡] Star Prince - Titanrium (수정)
긴박,음산한 발소리[자작] - [긴박 잔잔 초조],88,https://bgmstore.net/view/5bb0d0c7352039d22707c9a2/음산한 발소리[자작] - [긴박 잔잔 초조]
긴박,"[나루토]아마테라스 이타치,사스케.ver",68,"https://bgmstore.net/view/5bb0d107352039d227092928/[나루토]아마테라스 이타치,사스케.ver"
긴박,[리코더] 마마무 - 음오아예 (Um Oh Ah Yeh),65,https://bgmstore.net/view/5bb0d113352039d227097807/[리코더] 마마무 - 음오아예 (Um Oh Ah Yeh)
긴박,"완전 긴박한 분위기의 BGM/비트 'Zombie(좀비)' (턴업 Turn Up !,신남,긴박,격렬,비트,심각,일렉)",63,"https://bgmstore.net/view/5bb0d13b352039d2270a67b4/완전 긴박한 분위기의 BGM/비트 'Zombie(좀비)' (턴업 Turn Up !,신남,긴박,격렬,비트,심각,일렉)"
긴박,Crisis(짧음) #긴박 #긴장 #게임 #보스전,60,https://bgmstore.net/view/5bb0d13f352039d2270a720a/Crisis(짧음) #긴박 #긴장 #게임 #보스전
긴박,[리코더] 포미닛(4minute) - 미쳐,59,https://bgmstore.net/view/5bb0d0f9352039d22708d5fc/[리코더] 포미닛(4minute) - 미쳐
긴박,"[리코더] 유재환, 김예림 (투개월) - 커피 (Prod. by G-Park 박명수)",55,"https://bgmstore.net/view/5bb0d113352039d22709699a/[리코더] 유재환, 김예림 (투개월) - 커피 (Prod. by G-Park 박명수)"
긴박,"Sivan - Chase (긴장,긴박,공포,비장,비트)",54,"https://bgmstore.net/view/5bb0d13b352039d2270a6e9f/Sivan - Chase (긴장,긴박,공포,비장,비트)"
긴박,"(카피)메탈슬러그 - Final attack - by PSI (긴박, 격렬, 웅장, 게임, Metal slug, BGM)",54,"https://bgmstore.net/view/5bb0d12e352039d2270a174f/(카피)메탈슬러그 - Final attack - by PSI (긴박, 격렬, 웅장, 게임, Metal slug, BGM)"
긴박,월오탱용 실제공습경보,50,https://bgmstore.net/view/5bb0d0dd352039d227083f07/월오탱용 실제공습경보
긴박,[리코더] 하리 - 귀요미송,48,https://bgmstore.net/view/5bb0d0ea352039d227087ae6/[리코더] 하리 - 귀요미송
긴박,"자작곡 - Black war (긴박,격렬,진지,장엄,웅장,긴장,초조,바이올린,합창,오케스트라,영화,심각,비트)",45,"https://bgmstore.net/view/5bb0d0d7352039d22708182b/자작곡 - Black war (긴박,격렬,진지,장엄,웅장,긴장,초조,바이올린,합창,오케스트라,영화,심각,비트)"
긴박,[라이브] 아이오아이 (I.O.I) - Crush,44,https://bgmstore.net/view/5bb0d121352039d22709ce5d/[라이브] 아이오아이 (I.O.I) - Crush
긴박,"(자작곡) Hand to Hand Combat - by 프시 (PSI) (긴박, 장엄, 웅장, 격렬, 해적, 오케스트라)",43,"https://bgmstore.net/view/5bb0d121352039d22709bd5e/(자작곡) Hand to Hand Combat - by 프시 (PSI) (긴박, 장엄, 웅장, 격렬, 해적, 오케스트라)"
긴박,가면라이더 포제 -  COSMIC MIND (코즈믹 스테이츠 테마),38,https://bgmstore.net/view/5bb0d0f9352039d22708e911/가면라이더 포제 -  COSMIC MIND (코즈믹 스테이츠 테마)
긴박,"자작곡 _ 절대주의 [ Absolutism ] ( 긴박, 피아노 )",37,"https://bgmstore.net/view/5bb0d107352039d227091f75/자작곡 _ 절대주의 [ Absolutism ] ( 긴박, 피아노 )"
