Category,Name,Rated,URL
긴장,"[자작곡] 청월령 - 죽음의행진 (긴장, 긴박, 장엄, 경쾌, 게임)",228,"https://bgmstore.net/view/5bb0d128352039d22709f762/[자작곡] 청월령 - 죽음의행진 (긴장, 긴박, 장엄, 경쾌, 게임)"
긴장,싸이렌소리입니다아아ㅏㅇ아ㅏ아아아아아,99,https://bgmstore.net/view/5bb0d0e3352039d22708631f/싸이렌소리입니다아아ㅏㅇ아ㅏ아아아아아
긴장,"REVENANT(긴장, 비장, 비트)",97,"https://bgmstore.net/view/5bb0d13b352039d2270a5c2c/REVENANT(긴장, 비장, 비트)"
긴장,하늘에서 정의가 빗발치는 비트(오버워치 파라),51,https://bgmstore.net/view/5bb0d13b352039d2270a706c/하늘에서 정의가 빗발치는 비트(오버워치 파라)
긴장,"[자작곡]Agony (자작곡,피아노,애잔,긴장,애절,몽환,아련,슬픔)",50,"https://bgmstore.net/view/5bb0d0ba352039d2270786ae/[자작곡]Agony (자작곡,피아노,애잔,긴장,애절,몽환,아련,슬픔)"
긴장,서든어택+아이리스의 조합,42,https://bgmstore.net/view/5bb0d0f9352039d22708c8c2/서든어택+아이리스의 조합
긴장,"[자작곡] Vampire Castle (할로윈, 긴장, 비장, 웅장, 긴박, 공포?, 피아노, 오르간)",40,"https://bgmstore.net/view/5bb0d12e352039d2270a1adb/[자작곡] Vampire Castle (할로윈, 긴장, 비장, 웅장, 긴박, 공포?, 피아노, 오르간)"
긴장,Essbee - Doll of the fanaticism,37,https://bgmstore.net/view/5bb0d13b352039d2270a51f0/Essbee - Doll of the fanaticism
긴장,"Reiya Re:Coma  - 點火(점화) (피아노, 긴장, 초조, 슬픔)",36,"https://bgmstore.net/view/5bb0d13b352039d2270a688b/Reiya Re:Coma  - 點火(점화) (피아노, 긴장, 초조, 슬픔)"
긴장,"[자작곡] 청월령 - tension (긴장, 긴박, 경쾌, 재즈, 피아노)",35,"https://bgmstore.net/view/5bb0d13b352039d2270a5259/[자작곡] 청월령 - tension (긴장, 긴박, 경쾌, 재즈, 피아노)"
긴장,incoming_자작,31,https://bgmstore.net/view/5bb0d13b352039d2270a5f5b/incoming_자작
긴장,"[자작곡] Run Away! (긴장, 긴박, 심각, 초조, 불안, 피아노, 바이올린)",29,"https://bgmstore.net/view/5bb0d12e352039d2270a0a19/[자작곡] Run Away! (긴장, 긴박, 심각, 초조, 불안, 피아노, 바이올린)"
긴장,"Essbee - Lunacy (긴장, 긴박)",27,"https://bgmstore.net/view/5bb0d128352039d22709fa6f/Essbee - Lunacy (긴장, 긴박)"
긴장,Catharsis on you(재즈),27,https://bgmstore.net/view/5bb0d121352039d22709b939/Catharsis on you(재즈)
긴장,"지코철구에게분노(쓸쓸,분노)",23,"https://bgmstore.net/view/5bb0d11a352039d22709a042/지코철구에게분노(쓸쓸,분노)"
긴장,Passion Poem - Titanrium ( 발퀄 죄송합니다. ),22,https://bgmstore.net/view/5bb0d11a352039d227098765/Passion Poem - Titanrium ( 발퀄 죄송합니다. )
긴장,[자작곡] 헬조선 브금,22,https://bgmstore.net/view/5bb0d113352039d227097ce6/[자작곡] 헬조선 브금
긴장,Tapstun - Extra-Dimensional Shift [VIP mix],20,https://bgmstore.net/view/5bb0d13b352039d2270a58e3/Tapstun - Extra-Dimensional Shift [VIP mix]
긴장,긴장감을 몰입시키는 BGM,19,https://bgmstore.net/view/5bb0d121352039d22709d153/긴장감을 몰입시키는 BGM
긴장,로뎃인장곡 1번 저장용,17,https://bgmstore.net/view/5bb0d135352039d2270a321a/로뎃인장곡 1번 저장용
긴장,[자작곡] 어둠의 각성 - Titanrium,17,https://bgmstore.net/view/5bb0d121352039d22709c1ed/[자작곡] 어둠의 각성 - Titanrium
긴장,"부뚜 - Deep City (긴장, 진지)",17,"https://bgmstore.net/view/5bb0d113352039d2270974df/부뚜 - Deep City (긴장, 진지)"
긴장,"주헌,Black Nut - ㄴㄴ",17,"https://bgmstore.net/view/5bb0d100352039d22708ff7f/주헌,Black Nut - ㄴㄴ"
긴장,[자작곡] Hirus Title - Titanrium,16,https://bgmstore.net/view/5bb0d121352039d22709b1af/[자작곡] Hirus Title - Titanrium
긴장,"자작곡 - Shadow (비트,진지,긴박,고요,비장,초조,심각,일렉,영화)",13,"https://bgmstore.net/view/5bb0d0d7352039d2270818a4/자작곡 - Shadow (비트,진지,긴박,고요,비장,초조,심각,일렉,영화)"
긴장,"카이토,카가미네렌-벌게임",11,"https://bgmstore.net/view/5bb0d0f9352039d22708c495/카이토,카가미네렌-벌게임"
긴장,"Pflash - Squall (긴장, 진지, 격렬)",11,"https://bgmstore.net/view/5bb0d0f0352039d22708a49a/Pflash - Squall (긴장, 진지, 격렬)"
긴장,"[자작브금] The mansion (긴장, 몽환, 비트, 어두움)",10,"https://bgmstore.net/view/5bb0d107352039d227092b12/[자작브금] The mansion (긴장, 몽환, 비트, 어두움)"
긴장,다이나 브라더스 Final Stage (긴장),4,https://bgmstore.net/view/5bb0d11a352039d227099b6c/다이나 브라더스 Final Stage (긴장)
긴장,"(긴장,당당,비장) 야 전용준",2,"https://bgmstore.net/view/5bb0d0ea352039d22708894e/(긴장,당당,비장) 야 전용준"
