Category,Name,Rated,URL
심각,"(자작곡) Death Stages (심각, 진지, 초조, 쓸쓸, 장엄, 첼로, 실황연주)",116,"https://bgmstore.net/view/5bb0d0dd352039d227083e66/(자작곡) Death Stages (심각, 진지, 초조, 쓸쓸, 장엄, 첼로, 실황연주)"
심각,"findout(피아노, 고요, 잔잔, 심각)",83,"https://bgmstore.net/view/5bb0d13b352039d2270a5e83/findout(피아노, 고요, 잔잔, 심각)"
심각,Salil Sawarim - Abu Yasser(리코더 커버),75,https://bgmstore.net/view/5bb0d100352039d227090163/Salil Sawarim - Abu Yasser(리코더 커버)
심각,"라이토 웃음 한글판 변조 - 자작,순수,데스노트,라이토",61,"https://bgmstore.net/view/5bb0d0c0352039d2270797b8/라이토 웃음 한글판 변조 - 자작,순수,데스노트,라이토"
심각,"[자작]Seeu(오리지널)-Shout(심각, 긴박)",59,"https://bgmstore.net/view/5bb0d11a352039d22709a44b/[자작]Seeu(오리지널)-Shout(심각, 긴박)"
심각,"자작브금 - Blackfall(오케스트라, 전투브금)",55,"https://bgmstore.net/view/5bb0d0f0352039d22708a9ed/자작브금 - Blackfall(오케스트라, 전투브금)"
심각,"Essbee - LeViA (심각, 진지, 긴박)",42,"https://bgmstore.net/view/5bb0d12e352039d2270a10e3/Essbee - LeViA (심각, 진지, 긴박)"
심각,"자작곡 _ 금권주의 ( 장엄, 피아노 )",42,"https://bgmstore.net/view/5bb0d100352039d22708f7af/자작곡 _ 금권주의 ( 장엄, 피아노 )"
심각,Lanota 보스곡 Frey's Philosophy 피아노ver,27,https://bgmstore.net/view/5bb0d12e352039d2270a18ac/Lanota 보스곡 Frey's Philosophy 피아노ver
심각,"【자작브금】 성적 (심각, 좌절, 교내 수학UCC대회 때 썼던 브금02)",26,"https://bgmstore.net/view/5bb0d12e352039d2270a08e3/【자작브금】 성적 (심각, 좌절, 교내 수학UCC대회 때 썼던 브금02)"
심각,"(자작곡) Bloody Cathedral (핏빛 성당) - (심각, 격렬, 우울, 공포, 게임, 장엄, 쓸쓸, 긴장, 비장)",25,"https://bgmstore.net/view/5bb0d128352039d22709d543/(자작곡) Bloody Cathedral (핏빛 성당) - (심각, 격렬, 우울, 공포, 게임, 장엄, 쓸쓸, 긴장, 비장)"
심각,"첫 자작곡 - howling (심각, 슬픔, 쓸쓸, 공포, 진지, 긴장, 초조)",25,"https://bgmstore.net/view/5bb0d0b2352039d227074caf/첫 자작곡 - howling (심각, 슬픔, 쓸쓸, 공포, 진지, 긴장, 초조)"
심각,[라이브] 러블리즈 - Candy Jelly Love,23,https://bgmstore.net/view/5bb0d121352039d22709baf8/[라이브] 러블리즈 - Candy Jelly Love
심각,"[편곡]마이클 잭슨 Michael Jackson - Blue Gangsta 편곡 (공포, 긴박, 진지, 비트, 흥함, 초조)",21,"https://bgmstore.net/view/5bb0d135352039d2270a37ea/[편곡]마이클 잭슨 Michael Jackson - Blue Gangsta 편곡 (공포, 긴박, 진지, 비트, 흥함, 초조)"
심각,"CrysM - Negotiation (자작곡, 심각, 웅장, 긴박)",21,"https://bgmstore.net/view/5bb0d10d352039d22709547b/CrysM - Negotiation (자작곡, 심각, 웅장, 긴박)"
심각,"Overtechnology(포탈2 어레인지)(피아노, 신시사이저, 우울, 긴박, 심각, 진지)",17,"https://bgmstore.net/view/5bb0d113352039d227097175/Overtechnology(포탈2 어레인지)(피아노, 신시사이저, 우울, 긴박, 심각, 진지)"
심각,"hee_ya - ○→● (뉴에이지, 평화, 심각, 자작)",16,"https://bgmstore.net/view/5bb0d0f9352039d22708e5fd/hee_ya - ○→● (뉴에이지, 평화, 심각, 자작)"
심각,다이나 브라더스 Time Over (심각),15,https://bgmstore.net/view/5bb0d11a352039d227099b6d/다이나 브라더스 Time Over (심각)
심각,"러브라이브 (심각, 엽기, 한심)",8,"https://bgmstore.net/view/5bb0d0f0352039d22708a232/러브라이브 (심각, 엽기, 한심)"
심각,편지지 시 베이스 드럼 피아노 솔리스트,7,https://bgmstore.net/view/5bb0d113352039d2270974cc/편지지 시 베이스 드럼 피아노 솔리스트
심각,"교도소랩(심각, 슬픔,진지)",6,"https://bgmstore.net/view/5bb0d0e3352039d227086463/교도소랩(심각, 슬픔,진지)"
심각,노래방연습 - 박완규 - 잃어버린 기억,4,https://bgmstore.net/view/5bb0d121352039d22709b3a4/노래방연습 - 박완규 - 잃어버린 기억
심각,마이트가인 - 마이트가인vs굉룡(일본판 창룡),3,https://bgmstore.net/view/5bb0d128352039d22709e6f7/마이트가인 - 마이트가인vs굉룡(일본판 창룡)
심각,"[자작] 러브라이브 - 푸와푸와오 불러봄 (유머, 공포, 엽기, 애니)",2,"https://bgmstore.net/view/5bb0d0f0352039d22708a048/[자작] 러브라이브 - 푸와푸와오 불러봄 (유머, 공포, 엽기, 애니)"
