Category,Name,Rated,URL
쓸쓸,[KOR] 심해소녀 노래좋아용,293,https://bgmstore.net/view/5bb0d128352039d22709f1c5/[KOR] 심해소녀 노래좋아용
쓸쓸,"[자작곡] 카폴 - Stardust (쓸쓸,몽환,슬픔)",245,"https://bgmstore.net/view/5bb0d135352039d2270a4523/[자작곡] 카폴 - Stardust (쓸쓸,몽환,슬픔)"
쓸쓸,나루토-Sign 피아노버전 사스케목소리X,240,https://bgmstore.net/view/5bb0d0e3352039d227086e43/나루토-Sign 피아노버전 사스케목소리X
쓸쓸,"Essbee - Minute (쓸쓸, 몽환, 피아노)",223,"https://bgmstore.net/view/5bb0d12e352039d2270a0e7a/Essbee - Minute (쓸쓸, 몽환, 피아노)"
쓸쓸,"Essbee - 무채색의 거울(쓸쓸, 몽환)",207,"https://bgmstore.net/view/5bb0d135352039d2270a2967/Essbee - 무채색의 거울(쓸쓸, 몽환)"
쓸쓸,"[자작곡] 초승달이 뜬 밤 (쓸쓸, 슬픔, 우울, 잔잔, 몽환, 고요, 오르골)",189,"https://bgmstore.net/view/5bb0d135352039d2270a2f19/[자작곡] 초승달이 뜬 밤 (쓸쓸, 슬픔, 우울, 잔잔, 몽환, 고요, 오르골)"
쓸쓸,"(자작곡) 은행나무 한 그루 (쓸쓸, 잔잔, 우울, 좌절, 슬픔, 피아노)",132,"https://bgmstore.net/view/5bb0d0dd352039d227084bfd/(자작곡) 은행나무 한 그루 (쓸쓸, 잔잔, 우울, 좌절, 슬픔, 피아노)"
쓸쓸,"리나와리카 슬픈 노래,....",124,"https://bgmstore.net/view/5bb0d0f0352039d22708c1a2/리나와리카 슬픈 노래,...."
쓸쓸,Nocturne(rap ver.) #쓸쓸 #우울 #아련 #야상곡 #랩,117,https://bgmstore.net/view/5bb0d13f352039d2270a75b2/Nocturne(rap ver.) #쓸쓸 #우울 #아련 #야상곡 #랩
쓸쓸,"(자작곡) 보이지 않는 뿔. 그리고 상처 (쓸쓸, 슬픔, 감동, 잔잔, 애잔, 애절, 우울, 피아노)",94,"https://bgmstore.net/view/5bb0d0dd352039d227083676/(자작곡) 보이지 않는 뿔. 그리고 상처 (쓸쓸, 슬픔, 감동, 잔잔, 애잔, 애절, 우울, 피아노)"
쓸쓸,"[작곡] After That Day - Y10k(피아노,쓸쓸,희망,평화)",86,"https://bgmstore.net/view/5bb0d13b352039d2270a6894/[작곡] After That Day - Y10k(피아노,쓸쓸,희망,평화)"
쓸쓸,고독한 별 - Titanrium,86,https://bgmstore.net/view/5bb0d13b352039d2270a6600/고독한 별 - Titanrium
쓸쓸,Essbee - flowering,85,https://bgmstore.net/view/5bb0d135352039d2270a2bec/Essbee - flowering
쓸쓸,Essbee - misty day,80,https://bgmstore.net/view/5bb0d13b352039d2270a4ce1/Essbee - misty day
쓸쓸,Morning march #나른 #우울,77,https://bgmstore.net/view/5bb0d13f352039d2270a738e/Morning march #나른 #우울
쓸쓸,(자작곡) Rainy day (슬픔 감동 평화 우울 신비 잔잔 순수 고요 아련 피아노 ),75,https://bgmstore.net/view/5bb0d0e3352039d227084e59/(자작곡) Rainy day (슬픔 감동 평화 우울 신비 잔잔 순수 고요 아련 피아노 )
쓸쓸,"[커버]비운의 무녀 (금강, 키쿄우, 이누야샤, 피아노)",65,"https://bgmstore.net/view/5bb0d12e352039d2270a05bb/[커버]비운의 무녀 (금강, 키쿄우, 이누야샤, 피아노)"
쓸쓸,빅뱅 블루 - 피아노 커버,65,https://bgmstore.net/view/5bb0d107352039d22709125d/빅뱅 블루 - 피아노 커버
쓸쓸,"(자작곡) Noir (바이올린, 복수, 쓸쓸, 애잔, 추억, 영화, OST)",64,"https://bgmstore.net/view/5bb0d0d0352039d22707f61f/(자작곡) Noir (바이올린, 복수, 쓸쓸, 애잔, 추억, 영화, OST)"
쓸쓸,실수 ( Mistake ) [ 가까이 있어서 깨닫지 못했던 그 마음 ],58,https://bgmstore.net/view/5bb0d13b352039d2270a656d/실수 ( Mistake ) [ 가까이 있어서 깨닫지 못했던 그 마음 ]
쓸쓸,"[작곡]LIFE - ToTheMoon (피아노/뉴에이지/비트/쓸픔,쓸쓸)",58,"https://bgmstore.net/view/5bb0d13b352039d2270a607d/[작곡]LIFE - ToTheMoon (피아노/뉴에이지/비트/쓸픔,쓸쓸)"
쓸쓸,브베 - 마음이 아픈 소년 (벨버전),58,https://bgmstore.net/view/5bb0d13b352039d2270a5b7c/브베 - 마음이 아픈 소년 (벨버전)
쓸쓸,Nocturne #쓸쓸 #우울 #아련 #야상곡,55,https://bgmstore.net/view/5bb0d13f352039d2270a733c/Nocturne #쓸쓸 #우울 #아련 #야상곡
쓸쓸,서월 - 잃어버린 / 잔잔한 뉴에이지 피아노곡 - Overwatch Fan Music,54,https://bgmstore.net/view/5bb0d13b352039d2270a6a28/서월 - 잃어버린 / 잔잔한 뉴에이지 피아노곡 - Overwatch Fan Music
쓸쓸,Essbee - minute (리메이크),53,https://bgmstore.net/view/5bb0d13b352039d2270a52e2/Essbee - minute (리메이크)
쓸쓸,"No.F [고요,피아노,평화,잔잔,일상,몽환,여유,애잔]",49,"https://bgmstore.net/view/5bb0d13b352039d2270a5a9c/No.F [고요,피아노,평화,잔잔,일상,몽환,여유,애잔]"
쓸쓸,"Essbee - 안개골 (자작곡, 동양풍)",46,"https://bgmstore.net/view/5bb0d128352039d22709ebe9/Essbee - 안개골 (자작곡, 동양풍)"
쓸쓸,군터 런닝맨 배경음악,43,https://bgmstore.net/view/5bb0d10d352039d227093d88/군터 런닝맨 배경음악
쓸쓸,왕좌의게임 - 카스타미르의 비(리코더 커버),43,https://bgmstore.net/view/5bb0d0f9352039d22708d55c/왕좌의게임 - 카스타미르의 비(리코더 커버)
쓸쓸,[자작곡]벚꽃-(쓸쓸),42,https://bgmstore.net/view/5bb0d11a352039d227099b9c/[자작곡]벚꽃-(쓸쓸)
쓸쓸,"Je4You - Night of Moon (피아노,바이올린,슬픔,비애,쓸쓸,뉴에이지)",41,"https://bgmstore.net/view/5bb0d128352039d22709ec02/Je4You - Night of Moon (피아노,바이올린,슬픔,비애,쓸쓸,뉴에이지)"
쓸쓸,Essbee - 백연 (드럼비트 제거),40,https://bgmstore.net/view/5bb0d12e352039d2270a1566/Essbee - 백연 (드럼비트 제거)
쓸쓸,"Essbee - Fate (슬픔, 쓸쓸, 애절)",37,"https://bgmstore.net/view/5bb0d12e352039d2270a04ba/Essbee - Fate (슬픔, 쓸쓸, 애절)"
쓸쓸,(피아노)자작곡 - 아무도 없는...,37,https://bgmstore.net/view/5bb0d0e3352039d227085f33/(피아노)자작곡 - 아무도 없는...
쓸쓸,"메이플스토리 소멸의 여로 : 망각의 호수 락버전 (자작, 락, 쓸쓸)",36,"https://bgmstore.net/view/5bb0d13b352039d2270a5aab/메이플스토리 소멸의 여로 : 망각의 호수 락버전 (자작, 락, 쓸쓸)"
쓸쓸,"Essbee - Alone (쓸쓸, 애절, 슬픔)",35,"https://bgmstore.net/view/5bb0d128352039d22709f41d/Essbee - Alone (쓸쓸, 애절, 슬픔)"
쓸쓸,Essbee - Yuyake,32,https://bgmstore.net/view/5bb0d13b352039d2270a4f4b/Essbee - Yuyake
쓸쓸,진혼곡 - Titanrium,32,https://bgmstore.net/view/5bb0d13b352039d2270a4d05/진혼곡 - Titanrium
쓸쓸,"[작곡]A Mind Beyond Reach Forever - Y10k(피아노,바이올린,잔잔,쓸쓸함)",31,"https://bgmstore.net/view/5bb0d13b352039d2270a678c/[작곡]A Mind Beyond Reach Forever - Y10k(피아노,바이올린,잔잔,쓸쓸함)"
