Category,Name,Rated,URL
우울,"The stars in the night are like tears - (피아노,뉴에이지,우울,신비)",449,"https://bgmstore.net/view/5bb0d13f352039d2270a755e/The stars in the night are like tears - (피아노,뉴에이지,우울,신비)"
우울,"Scattered Memories 흩어진 기억들 (피아노,바이올린,우울)",198,"https://bgmstore.net/view/5bb0d13b352039d2270a583c/Scattered Memories 흩어진 기억들 (피아노,바이올린,우울)"
우울,"자작곡 - 투정 (연애, 이별, 우울, 사랑, 썸)",161,"https://bgmstore.net/view/5bb0d0c7352039d22707b7ba/자작곡 - 투정 (연애, 이별, 우울, 사랑, 썸)"
우울,"[8th 자작곡] Alone - 뮤스텔지아 (뉴에이지 피아노) (애절, 슬픔, 애잔, 쓸쓸, 우울, 좌절, 심각, 아련, 초조)",156,"https://bgmstore.net/view/5bb0d13f352039d2270a70ac/[8th 자작곡] Alone - 뮤스텔지아 (뉴에이지 피아노) (애절, 슬픔, 애잔, 쓸쓸, 우울, 좌절, 심각, 아련, 초조)"
우울,"(자작곡) Question, Why (우울, 신비, 잔잔, 몽환, 피아노, 애잔, 슬픔)",155,"https://bgmstore.net/view/5bb0d0e3352039d2270873e3/(자작곡) Question, Why (우울, 신비, 잔잔, 몽환, 피아노, 애잔, 슬픔)"
우울,얼음달(Moonlit waltz) #우울 #쓸쓸,154,https://bgmstore.net/view/5bb0d13f352039d2270a74a9/얼음달(Moonlit waltz) #우울 #쓸쓸
우울,"[자작곡] roro - 천사의 오열(Weeping angel) (피아노, 슬픔, 긴장)",109,"https://bgmstore.net/view/5bb0d135352039d2270a45e5/[자작곡] roro - 천사의 오열(Weeping angel) (피아노, 슬픔, 긴장)"
우울,"[우울,피아노]  Doremifa Rondo Piano (Arr.서화 seohwa) (우울,아련,고요,피아노,잔잔)",98,"https://bgmstore.net/view/5bb0d0f9352039d22708c88c/[우울,피아노]  Doremifa Rondo Piano (Arr.서화 seohwa) (우울,아련,고요,피아노,잔잔)"
우울,"우울한 피아노!! 자작 브금/비트 (슬픔,애절,쓸쓸,우울,비트,힙합,피아노)",95,"https://bgmstore.net/view/5bb0d13b352039d2270a5ad6/우울한 피아노!! 자작 브금/비트 (슬픔,애절,쓸쓸,우울,비트,힙합,피아노)"
우울,"BLACK BOX - Hikikomori (공포, 슬픔, 신남, 우울, 좌절, 진지, 비트, 즐거움, 흥겨움, 클럽, 긴장, 흥함, 활기, 경쾌, 일렉)",84,"https://bgmstore.net/view/5bb0d13b352039d2270a6de4/BLACK BOX - Hikikomori (공포, 슬픔, 신남, 우울, 좌절, 진지, 비트, 즐거움, 흥겨움, 클럽, 긴장, 흥함, 활기, 경쾌, 일렉)"
우울,"[자작] 빗소리 발자국 (음산,공포,우울)",76,"https://bgmstore.net/view/5bb0d11a352039d22709a586/[자작] 빗소리 발자국 (음산,공포,우울)"
우울,"불쌍한 멕루캉(레이 미스테리오 테마 0.5배속, 키 낮춤) 슬픔, 애절, 우울, 좌절",70,"https://bgmstore.net/view/5bb0d0f0352039d22708c05d/불쌍한 멕루캉(레이 미스테리오 테마 0.5배속, 키 낮춤) 슬픔, 애절, 우울, 좌절"
우울,"(자작곡) Autumn night for noir (우울, 느와르, 영화, 클라리넷, 잔잔, 심각, 콘트라베이스)",60,"https://bgmstore.net/view/5bb0d12e352039d2270a0d8f/(자작곡) Autumn night for noir (우울, 느와르, 영화, 클라리넷, 잔잔, 심각, 콘트라베이스)"
우울,"우울 - 요프레 (슬픔, 감동, 평화, 애절, 쓸쓸, 우울, 잔잔, 고요, 피아노)",59,"https://bgmstore.net/view/5bb0d13b352039d2270a5c01/우울 - 요프레 (슬픔, 감동, 평화, 애절, 쓸쓸, 우울, 잔잔, 고요, 피아노)"
우울,[리코더] Zion.T - 지구온난화 (Feat. YDG),57,https://bgmstore.net/view/5bb0d0f9352039d22708e983/[리코더] Zion.T - 지구온난화 (Feat. YDG)
우울,이야기를 위한 자장가,53,https://bgmstore.net/view/5bb0d13b352039d2270a67ba/이야기를 위한 자장가
우울,"자작곡) East.U -  Hing (슬픔,쓸쓸,우울,잔잔,아련,피아노,감동,평화)",53,"https://bgmstore.net/view/5bb0d0e3352039d227084e58/자작곡) East.U -  Hing (슬픔,쓸쓸,우울,잔잔,아련,피아노,감동,평화)"
우울,"CrysM - 후회의 길 (자작곡, 우울, 슬픔)",52,"https://bgmstore.net/view/5bb0d11a352039d2270994cd/CrysM - 후회의 길 (자작곡, 우울, 슬픔)"
우울,"Be Lost in Memories - 회상 배경음(슬픔,우울,고요,진지,아련,추억)",51,"https://bgmstore.net/view/5bb0d135352039d2270a3e0e/Be Lost in Memories - 회상 배경음(슬픔,우울,고요,진지,아련,추억)"
우울,if you - big bang (우울),46,https://bgmstore.net/view/5bb0d107352039d22709179f/if you - big bang (우울)
우울,이루마 river flows in you,36,https://bgmstore.net/view/5bb0d121352039d22709cdbd/이루마 river flows in you
우울,[리코더] 에픽하이 - Let It Rain (Feat. 김종완 of Nell),32,https://bgmstore.net/view/5bb0d121352039d22709b548/[리코더] 에픽하이 - Let It Rain (Feat. 김종완 of Nell)
우울,[자작곡] 공황장애 - Titanrium,30,https://bgmstore.net/view/5bb0d121352039d22709c87c/[자작곡] 공황장애 - Titanrium
우울,"ldd930610-잠은언제쯤오지 [자작곡,우울,좌절,]",29,"https://bgmstore.net/view/5bb0d13b352039d2270a5399/ldd930610-잠은언제쯤오지 [자작곡,우울,좌절,]"
우울,이루마 kiss the rian,29,https://bgmstore.net/view/5bb0d121352039d22709ce38/이루마 kiss the rian
우울,"It's Been So Long-치피(프레디의피자가게,우울)",28,"https://bgmstore.net/view/5bb0d10d352039d227095854/It's Been So Long-치피(프레디의피자가게,우울)"
우울,"무명1_3(잔잔, 쓸쓸, 우울, 반복)",26,"https://bgmstore.net/view/5bb0d13b352039d2270a653b/무명1_3(잔잔, 쓸쓸, 우울, 반복)"
우울,김보성 - 야누스의 눈물 (2016년 04월 25일 월요일) No. 124,24,https://bgmstore.net/view/5bb0d121352039d22709ce22/김보성 - 야누스의 눈물 (2016년 04월 25일 월요일) No. 124
우울,"Old And Wise라는 브금입니다.(우울,감동,잔잔)",23,"https://bgmstore.net/view/5bb0d128352039d22709d631/Old And Wise라는 브금입니다.(우울,감동,잔잔)"
우울,이루마 Loanna 뜻은 이루마의 딸에 이름을 따서 만든겁니다.,23,https://bgmstore.net/view/5bb0d121352039d22709ce66/이루마 Loanna 뜻은 이루마의 딸에 이름을 따서 만든겁니다.
우울,"hee_ya - Collapsing Heart (뉴에이지, 우울, 좌절, 자작)",23,"https://bgmstore.net/view/5bb0d11a352039d22709923a/hee_ya - Collapsing Heart (뉴에이지, 우울, 좌절, 자작)"
우울,Tapstun - Conpuzzled Victory,20,https://bgmstore.net/view/5bb0d13b352039d2270a516b/Tapstun - Conpuzzled Victory
