Category,Name,Rated,URL
장엄,"[자작곡] Sorrow of Dawn(여명의 비애) - 장엄, 진지, 간박, 쓸쓸, 웅장",226,"https://bgmstore.net/view/5bb0d13f352039d2270a720b/[자작곡] Sorrow of Dawn(여명의 비애) - 장엄, 진지, 간박, 쓸쓸, 웅장"
장엄,가스파드 - 전자오락 수호대 (ver.Gold),159,https://bgmstore.net/view/5bb0d0ea352039d227089a1f/가스파드 - 전자오락 수호대 (ver.Gold)
장엄,"(자작곡) Age of conquest - by PSI (프시) (장엄, 웅장, 오케스트라, 전투, 중세)",78,"https://bgmstore.net/view/5bb0d11a352039d2270997d4/(자작곡) Age of conquest - by PSI (프시) (장엄, 웅장, 오케스트라, 전투, 중세)"
장엄,"Time Forest-숲이 생각나는 브금(피아노,오케스트라,장엄,몽환,전율)",70,"https://bgmstore.net/view/5bb0d135352039d2270a4124/Time Forest-숲이 생각나는 브금(피아노,오케스트라,장엄,몽환,전율)"
장엄,"(자작곡) Alea iacta est - by PSI (프시) (장엄, 웅장, 오케스트라, 전쟁, 중세)",58,"https://bgmstore.net/view/5bb0d128352039d22709efd5/(자작곡) Alea iacta est - by PSI (프시) (장엄, 웅장, 오케스트라, 전쟁, 중세)"
장엄,"[자작곡] Myosotis (오케스트라,비장,장엄)",56,"https://bgmstore.net/view/5bb0d107352039d227092971/[자작곡] Myosotis (오케스트라,비장,장엄)"
장엄,"(자작곡) The final battle - by PSI (프시) (장엄, 웅장, 오케스트라)",55,"https://bgmstore.net/view/5bb0d107352039d2270926fa/(자작곡) The final battle - by PSI (프시) (장엄, 웅장, 오케스트라)"
장엄,"PARUN - Skyscape 摩天樓 (감동,피아노,비트)",54,"https://bgmstore.net/view/5bb0d13b352039d2270a65f3/PARUN - Skyscape 摩天樓 (감동,피아노,비트)"
장엄,월오탱 하리코프 BGM 8비트 버젼,52,https://bgmstore.net/view/5bb0d0f0352039d22708bec4/월오탱 하리코프 BGM 8비트 버젼
장엄,"스팅 WWE 테마.swf(장엄, 비장)",50,"https://bgmstore.net/view/5bb0d0f0352039d22708be15/스팅 WWE 테마.swf(장엄, 비장)"
