Category,Name,Rated,URL
좌절,[리코더] TWICE (트와이스) - TT,196,https://bgmstore.net/view/5bb0d12e352039d2270a1931/[리코더] TWICE (트와이스) - TT
좌절,"난감하네~~ (좌절, 강화실패, 망함, 절망)",131,"https://bgmstore.net/view/5bb0d107352039d22709343d/난감하네~~ (좌절, 강화실패, 망함, 절망)"
좌절,대정령 이삭의 구속 샷건 모음,98,https://bgmstore.net/view/5bb0d0e3352039d2270866eb/대정령 이삭의 구속 샷건 모음
좌절,"hee_ya - To the Nighttime (뉴에이지, 평화, 좌절, 자작)",57,"https://bgmstore.net/view/5bb0d11a352039d227099239/hee_ya - To the Nighttime (뉴에이지, 평화, 좌절, 자작)"
좌절,"(좌절,우울,아련) 절망의 빛. &lt;자작곡&gt; (1:52)",55,"https://bgmstore.net/view/5bb0d0f9352039d22708db01/(좌절,우울,아련) 절망의 빛. &lt;자작곡&gt; (1:52)"
좌절,"일뽕들 피꺼솟 하는 장면.swf(2차대전, 칸코레, 일본군,미군, 종전70주년)",52,"https://bgmstore.net/view/5bb0d0f9352039d22708d55a/일뽕들 피꺼솟 하는 장면.swf(2차대전, 칸코레, 일본군,미군, 종전70주년)"
좌절,악몽 [심각][좌절][진지],47,https://bgmstore.net/view/5bb0d10d352039d227094555/악몽 [심각][좌절][진지]
좌절,"프레디의피자가게2 노래 거꾸로 (우울,공포,좌절,심각,게임)",45,"https://bgmstore.net/view/5bb0d113352039d22709622d/프레디의피자가게2 노래 거꾸로 (우울,공포,좌절,심각,게임)"
좌절,(자작) 브금 패전.,41,https://bgmstore.net/view/5bb0d107352039d2270921ab/(자작) 브금 패전.
좌절,"자작곡 _ Repent ( 좌절, 피아노 (다운로드링크수정) )",41,"https://bgmstore.net/view/5bb0d100352039d2270903e2/자작곡 _ Repent ( 좌절, 피아노 (다운로드링크수정) )"
좌절,내가 꼭 들어야하는 브금 7,36,https://bgmstore.net/view/5bb0d0ea352039d2270887ca/내가 꼭 들어야하는 브금 7
좌절,"Who Make me Crying [헤비 우는소리] (유머, 슬픔, 좌절, 팀포, 헤비, 팀포트리스2, 으앙, 아 뭐였지)",28,"https://bgmstore.net/view/5bb0d0f0352039d227089e87/Who Make me Crying [헤비 우는소리] (유머, 슬픔, 좌절, 팀포, 헤비, 팀포트리스2, 으앙, 아 뭐였지)"
좌절,[리코더] 소녀시대 - Mr. Mr.,27,https://bgmstore.net/view/5bb0d121352039d22709b2c0/[리코더] 소녀시대 - Mr. Mr.
좌절,나루토 나루티밋스톰 2 - The Beast Set Loose Soundtrack,26,https://bgmstore.net/view/5bb0d10d352039d227094088/나루토 나루티밋스톰 2 - The Beast Set Loose Soundtrack
좌절,"킹덤- 뭔 개솔이야 (웅장, 긴장, 장엄, 한심)",22,"https://bgmstore.net/view/5bb0d113352039d227096dc3/킹덤- 뭔 개솔이야 (웅장, 긴장, 장엄, 한심)"
좌절,Braid - World I,22,https://bgmstore.net/view/5bb0d0f0352039d227089fbb/Braid - World I
좌절,자작곡 차력사의아들 주제가,21,https://bgmstore.net/view/5bb0d10d352039d2270950a5/자작곡 차력사의아들 주제가
좌절,미디 습작 합창단(좌절),18,https://bgmstore.net/view/5bb0d0ea352039d22708911a/미디 습작 합창단(좌절)
좌절,이 사람이다 - 김종국(내가 부름),16,https://bgmstore.net/view/5bb0d10d352039d227094cac/이 사람이다 - 김종국(내가 부름)
좌절,"왕한 - 내가 여자를 차다니(힙합, 랩, 눈동자가보여, 이별, 실연, 애잔, 왕한)(beat. 한남)",16,"https://bgmstore.net/view/5bb0d0f9352039d22708dfad/왕한 - 내가 여자를 차다니(힙합, 랩, 눈동자가보여, 이별, 실연, 애잔, 왕한)(beat. 한남)"
좌절,인피니트 - BTD ( Before The Dawn),13,https://bgmstore.net/view/5bb0d10d352039d227094dad/인피니트 - BTD ( Before The Dawn)
좌절,이상한열매-이상이상함 띵똥거림 막친거,10,https://bgmstore.net/view/5bb0d100352039d227090d24/이상한열매-이상이상함 띵똥거림 막친거
좌절,블레이드엔소울 급함 좌절,10,https://bgmstore.net/view/5bb0d0e3352039d227085e4b/블레이드엔소울 급함 좌절
좌절,노래방연습 - 박완규 - 비 (더 연습하자),8,https://bgmstore.net/view/5bb0d121352039d22709b59f/노래방연습 - 박완규 - 비 (더 연습하자)
좌절,"수포자-자작곡 (우울, 좌절, 한심, 소리작음)",8,"https://bgmstore.net/view/5bb0d0dd352039d2270845ea/수포자-자작곡 (우울, 좌절, 한심, 소리작음)"
